,Console,Console_Sales
0,Wii,909.8099999999998
1,NES,251.07
2,GB,254.42
3,DS,818.9099999999999
4,X360,969.5999999999999
5,PS3,949.35
6,PS2,1233.46
7,SNES,200.05
8,GBA,305.62
9,3DS,246.26999999999998
10,PS4,278.1
11,N64,218.21
12,PS,727.3899999999999
13,XB,252.09
14,PC,254.70000000000002
15,2600,86.57000000000001
16,PSP,291.71000000000004
17,XOne,141.06
18,GC,197.14
19,WiiU,81.86000000000001
20,GEN,28.36
21,DC,15.969999999999999
22,PSV,61.6
23,SAT,33.59
24,SCD,1.87
25,WS,1.4200000000000002
26,NG,1.44
27,TG16,0.16
28,3DO,0.1
29,GG,0.04
30,PCFX,0.03
